[2026-01-28 22:43:16] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Tuya Connected Outlet', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.23,"energy":28.18,"indicator_mode":"off/on","linkquality":108,"power":45,"power_outage_memory":"off","state":"ON","update":{"installed_version":268514823,"latest_version":268514823,"state":"idle"},"voltage":234}'
[2026-01-28 22:43:16] debug: 	zh:controller:endpoint: ZCL command 0xa4c138247a1a948b/1 seMetering.read(["currentSummDelivered"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2026-01-28 22:43:16] debug: 	zh:ember: ~~~> [ZCL to=0xa4c138247a1a948b:7447 apsFrame={"profileId":260,"clusterId":1794,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":0,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":21,"commandIdentifier":0}]
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=71 Len=26]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=7 frmRx=3](ackRx=7)
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0](ackRx=7 frmTx=0)
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0 frmNum=3](frmRx=3) Added to rxQueue
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=4](ackRx=0)
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=71 Len=7]
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=89 messageTag=12 status=OK]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0](ackRx=0 frmTx=0)
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0 frmNum=4](frmRx=4) Added to rxQueue
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=0)
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=71 Len=22]
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=7447 apsFrame={"profileId":260,"clusterId":1794,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":89} messageTag=12
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0](ackRx=0 frmTx=0)
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0 frmNum=5](frmRx=5) Added to rxQueue
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=0)
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=71 Len=38]
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":1794,"sourceEndpoint":1,"destinationEndpoint":1,"options":320,"groupId":0,"sequence":101} packetInfo:{"senderShortId":7447,"senderLongId":"0xffffffffffffffff","bindingIndex":255,"addressIndex":255,"lastHopLqi":104,"lastHopRssi":-74,"lastHopTimestamp":0} messageContents=18150100000025020b00000000
[2026-01-28 22:43:16] debug: 	zh:controller: Received payload: clusterID=1794, address=7447, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=104, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":21,"commandIdentifier":1},"payload":[{"attrId":0,"status":0,"dataType":37,"attrData":2818}],"command":{"ID":1,"name":"readRsp","parameters":[{"name":"attrId","type":9},{"name":"status","type":8},{"name":"dataType","type":8,"conditions":[{"type":"fieldEquals","field":"status","value":0}]},{"name":"attrData","type":1000,"conditions":[{"type":"fieldEquals","field":"status","value":0}]}]}}
[2026-01-28 22:43:16] debug: 	z2m: Received Zigbee message from 'Tuya Connected Outlet', type 'readResponse', cluster 'seMetering', data '{"currentSummDelivered":2818}' from endpoint 1 with groupID 0
[2026-01-28 22:43:16] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Tuya Connected Outlet', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.23,"energy":28.18,"indicator_mode":"off/on","linkquality":104,"power":45,"power_outage_memory":"off","state":"ON","update":{"installed_version":268514823,"latest_version":268514823,"state":"idle"},"voltage":234}'
[2026-01-28 22:43:23] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:23] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0](ackRx=0 frmTx=0)
[2026-01-28 22:43:23] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0 frmNum=6](frmRx=6) Added to rxQueue
